open,volume,low,timestamp,high,close
1119.9900,239679,1111.6400,2019-06-20,1120.0000,1115.3600
1105.6000,1338575,1093.4800,2019-06-19,1107.0000,1102.3300
1109.6900,1386684,1098.9900,2019-06-18,1116.3900,1103.6000
1086.2800,941602,1086.2800,2019-06-17,1099.1800,1092.5000
1086.4200,1111643,1080.1700,2019-06-14,1092.6900,1085.3500
1083.6400,1058000,1080.1500,2019-06-13,1094.1700,1088.7700
1078.0000,1061255,1067.5400,2019-06-12,1080.9300,1077.0300
1093.9800,1437063,1077.6000,2019-06-11,1101.9900,1078.7200
1072.9800,1464248,1072.3200,2019-06-10,1092.6600,1080.3800
1050.6300,1802370,1048.4000,2019-06-07,1070.9200,1066.0400
1044.9900,1703244,1033.7000,2019-06-06,1047.4900,1044.3400
1051.5400,2168439,1030.4900,2019-06-05,1053.5500,1042.2200
1042.9000,2833483,1033.6900,2019-06-04,1056.0500,1053.0500
1065.5000,5130576,1025.0000,2019-06-03,1065.5000,1036.2300
1101.2900,1508203,1100.1800,2019-05-31,1109.6000,1103.6300
1115.5400,951873,1112.1200,2019-05-30,1123.1300,1117.9500
1127.5200,1538212,1108.2200,2019-05-29,1129.1000,1116.4600
1134.0000,1365166,1133.1200,2019-05-28,1151.5900,1134.1500
1147.3600,1112341,1131.6600,2019-05-24,1149.7700,1133.4700
1140.5000,1199300,1129.2200,2019-05-23,1145.9700,1140.7700
1146.7500,914839,1145.8900,2019-05-22,1158.5200,1151.4200
1148.4900,1160158,1137.9400,2019-05-21,1152.7100,1149.6300
1144.5000,1353292,1131.4400,2019-05-20,1146.8000,1138.8500
1168.4700,1208623,1160.0100,2019-05-17,1180.1500,1162.3000
1164.5100,1531404,1162.8400,2019-05-16,1188.1600,1178.9800
1117.8700,2289302,1116.6700,2019-05-15,1171.3300,1164.2100
1137.2100,1836604,1119.5500,2019-05-14,1140.4200,1120.4400
1141.9600,1860648,1122.1100,2019-05-13,1147.9400,1132.0300
1163.5900,1314546,1142.5000,2019-05-10,1172.6000,1164.2700
1159.0300,1185973,1150.8500,2019-05-09,1169.6600,1162.3800
1172.0100,1309514,1165.7400,2019-05-08,1180.4200,1166.2700
1180.4700,1551368,1161.0400,2019-05-07,1190.4400,1174.1000
1166.2600,1563943,1166.2600,2019-05-06,1190.8500,1189.3900
1173.6500,1980653,1169.0000,2019-05-03,1186.8000,1185.4000
1167.7600,1944817,1155.0000,2019-05-02,1174.1900,1162.6100
1188.0500,2642983,1167.1800,2019-05-01,1188.0500,1168.0800
1185.0000,6207027,1175.0000,2019-04-30,1192.8100,1188.4800
1274.0000,2499432,1266.2900,2019-04-29,1289.2700,1287.5800
1269.0000,1241428,1260.3200,2019-04-26,1273.0700,1272.1800
1264.7700,1107295,1252.0300,2019-04-25,1267.4100,1263.4500
1264.1200,1018753,1255.0000,2019-04-24,1268.0100,1256.0000
1250.6900,1319910,1246.3800,2019-04-23,1269.0000,1264.5500
1235.9900,807334,1228.3100,2019-04-22,1249.0900,1248.8400
1239.1800,1331823,1234.6100,2019-04-18,1242.0000,1236.3700
1233.0000,1221930,1227.8200,2019-04-17,1240.5600,1236.3400
1225.0000,856304,1220.1200,2019-04-16,1230.8200,1227.1300
1218.0000,1187519,1209.1100,2019-04-15,1224.2000,1221.1000
1210.0000,933794,1208.1100,2019-04-12,1218.3500,1217.8700
1203.9600,710231,1200.1300,2019-04-11,1207.9600,1204.6200
1200.6800,724643,1196.4300,2019-04-10,1203.7900,1202.1600
1196.0000,876381,1193.0800,2019-04-09,1202.2900,1197.2500
1207.8900,860363,1199.8600,2019-04-08,1208.6900,1203.8400
1214.9900,907152,1205.0300,2019-04-05,1216.2200,1207.1500
1205.9400,950747,1204.1300,2019-04-04,1215.6700,1215.0000
1207.4800,1017838,1200.5000,2019-04-03,1216.3000,1205.9200
1195.3200,827973,1185.7100,2019-04-02,1201.3500,1200.4900
1184.1000,1252757,1182.0000,2019-04-01,1196.6600,1194.4300
1174.9000,1269979,1162.8800,2019-03-29,1178.9900,1173.3100
1171.5400,1012430,1159.4300,2019-03-28,1171.5700,1168.4900
1185.5000,1400240,1159.3700,2019-03-27,1187.5600,1173.0200
1198.5300,1901156,1176.7200,2019-03-26,1202.8300,1184.6200
1196.9300,1496843,1187.0400,2019-03-25,1206.4000,1193.0000
1226.3200,1714247,1202.8300,2019-03-22,1230.0000,1205.5000
1216.0000,1204045,1213.1500,2019-03-21,1231.7900,1231.5400
1197.3500,2227786,1196.1700,2019-03-20,1227.1400,1223.9700
1188.8100,1520688,1185.8700,2019-03-19,1200.0000,1198.8500
1183.3000,1292633,1177.4200,2019-03-18,1190.0000,1184.2600
1193.3800,2459957,1182.6100,2019-03-15,1196.5700,1184.4600
1194.5100,1172815,1184.4800,2019-03-14,1197.8800,1185.5500
1200.6400,1435936,1191.9400,2019-03-13,1200.9300,1193.3200
1178.2600,2013115,1178.2600,2019-03-12,1200.0000,1193.2000
1144.4500,1719192,1144.4500,2019-03-11,1176.1900,1175.7600
1126.7300,1212489,1123.3000,2019-03-08,1147.0800,1142.3200
1155.7200,1166559,1134.9100,2019-03-07,1156.7600,1143.3000
1162.4900,1099289,1155.4900,2019-03-06,1167.5700,1157.8600
1150.0600,1443174,1146.1900,2019-03-05,1169.6100,1162.0300
1146.9900,1446047,1130.6900,2019-03-04,1158.2800,1147.8000
1124.9000,1450316,1124.7500,2019-03-01,1142.9700,1140.9900
1111.3000,1542609,1111.0100,2019-02-28,1127.6500,1119.9200
1106.9500,968760,1101.0000,2019-02-27,1117.9800,1116.0500
1105.7500,1471743,1099.9200,2019-02-26,1119.5100,1115.1300
1116.0000,1413061,1107.2700,2019-02-25,1118.5400,1109.4000
1100.9000,1049545,1095.6000,2019-02-22,1111.2400,1110.3700
1110.8400,1415473,1092.5200,2019-02-21,1111.9400,1096.9700
1119.9900,1087817,1105.2800,2019-02-20,1123.4100,1113.8000
1110.0000,1046628,1110.0000,2019-02-19,1121.8900,1118.5600
1130.0800,1449830,1110.6500,2019-02-15,1131.6700,1113.6500
1118.0500,947632,1110.4400,2019-02-14,1128.2300,1121.6700
1124.9900,1049781,1118.5000,2019-02-13,1134.7300,1120.1600
1106.8000,1609513,1105.8500,2019-02-12,1125.3000,1121.3700
1096.9500,1065194,1092.8600,2019-02-11,1105.9400,1095.0100
1087.0000,1075769,1086.5500,2019-02-08,1098.9100,1095.0600
1104.1600,2044827,1086.0000,2019-02-07,1104.8400,1098.7100
1139.5700,2105592,1112.7700,2019-02-06,1147.0000,1115.2300
1124.8400,3552194,1117.2500,2019-02-05,1146.8500,1145.9900
1112.6600,2576470,1109.0200,2019-02-04,1132.8000,1132.8000
1112.4000,1462208,1104.8900,2019-02-01,1125.0000,1110.7500
1103.0000,1538324,1095.4100,2019-01-31,1117.3300,1116.3700
1068.4300,1279822,1066.8500,2019-01-30,1091.0000,1089.0600
1072.6800,1021819,1055.8600,2019-01-29,1075.1500,1060.6200
